# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
     0.13%  iperf3           [kernel.kallsyms]            [k] free_unref_page_prepare.part.0
     0.13%  iperf3           [kernel.kallsyms]            [k] select_estimate_accuracy
     0.12%  iperf3           libc-2.29.so                 [.] __select
     0.12%  xfce4-terminal   [kernel.kallsyms]            [k] nmi
     0.12%  iperf3           [kernel.kallsyms]            [k] __zone_watermark_ok
     0.12%  iperf3           [kernel.kallsyms]            [k] skb_zerocopy_clone
     0.12%  iperf3           [kernel.kallsyms]            [k] ipv6_confirm
     0.12%  iperf3           [kernel.kallsyms]            [k] validate_xmit_xfrm
     0.12%  iperf3           [kernel.kallsyms]            [k] netif_skb_features
     0.12%  iperf3           [kernel.kallsyms]            [k] memcg_kmem_put_cache
     0.11%  swapper          [kernel.kallsyms]            [k] cpuidle_enter_state
     0.11%  iperf3           [kernel.kallsyms]            [k] pick_next_task_fair
     0.11%  iperf3           [kernel.kallsyms]            [k] ip6_rcv_core.isra.0
     0.11%  iperf3           libc-2.29.so                 [.] __GI___libc_write
     0.11%  iperf3           [kernel.kallsyms]            [k] should_failslab
     0.11%  swapper          [kernel.kallsyms]            [k] __sched_text_start
     0.11%  iperf3           [kernel.kallsyms]            [k] skb_headers_offset_update
     0.11%  iperf3           [kernel.kallsyms]            [k] trigger_dyntick_cpu.isra.0
     0.10%  iperf3           [kernel.kallsyms]            [k] ip6_output
     0.10%  iperf3           [kernel.kallsyms]            [k] process_backlog
     0.10%  iperf3           [kernel.kallsyms]            [k] __inode_security_revalidate
     0.10%  iperf3           [kernel.kallsyms]            [k] __update_idle_core
     0.10%  iperf3           [kernel.kallsyms]            [k] simple_copy_to_iter
     0.10%  xfwm4            libgdk-3.so.0.2404.6         [.] 0x0000000000067c1f
     0.10%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee57e
     0.10%  iperf3           [kernel.kallsyms]            [k] __nf_conntrack_find_get
     0.10%  iperf3           [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.09%  swapper          [kernel.kallsyms]            [k] osl_readw
     0.09%  iperf3           [kernel.kallsyms]            [k] tcp_rcv_established
     0.09%  iperf3           [kernel.kallsyms]            [k] __page_cache_release
     0.09%  iperf3           [kernel.kallsyms]            [k] timerqueue_add
     0.09%  swapper          [kernel.kallsyms]            [k] delay_tsc
     0.08%  iperf3           [kernel.kallsyms]            [k] ip6_pol_route_lookup
     0.08%  iperf3           [kernel.kallsyms]            [k] queued_spin_lock_slowpath
     0.08%  iperf3           [kernel.kallsyms]            [k] ip6_mtu
     0.08%  iperf3           [kernel.kallsyms]            [k] __wake_up_sync_key
     0.08%  ksoftirqd/2      [kernel.kallsyms]            [k] _raw_spin_lock_irqsave
     0.08%  iperf3           [kernel.kallsyms]            [k] is_skb_forwardable
     0.08%  iperf3           [kernel.kallsyms]            [k] select_task_rq_fair
     0.08%  iperf3           [kernel.kallsyms]            [k] kfree_skbmem
     0.08%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee562
     0.08%  iperf3           [kernel.kallsyms]            [k] tcp_v6_send_check
     0.08%  iperf3           [kernel.kallsyms]            [k] skb_clone_tx_timestamp
     0.08%  iperf3           [kernel.kallsyms]            [k] tcp_write_xmit
     0.08%  iperf3           [kernel.kallsyms]            [k] ipv6_defrag
     0.08%  iperf3           libiperf.so.0.0.0            [.] Nread
     0.08%  swapper          [kernel.kallsyms]            [k] rcu_eqs_enter.constprop.0
     0.08%  iperf3           [kernel.kallsyms]            [k] ip6_protocol_deliver_rcu
     0.07%  iperf3           [kernel.kallsyms]            [k] prep_new_page
     0.07%  iperf3           [kernel.kallsyms]            [k] __local_bh_enable_ip
     0.07%  iperf3           [kernel.kallsyms]            [k] alloc_pages_current
     0.07%  iperf3           [kernel.kallsyms]            [k] ip6_rcv_finish_core.isra.0
     0.07%  iperf3           [kernel.kallsyms]            [k] update_curr
     0.07%  iperf3           [kernel.kallsyms]            [k] add_wait_queue
     0.07%  iperf3           [kernel.kallsyms]            [k] tcp_event_new_data_sent
     0.07%  iperf3           [kernel.kallsyms]            [k] run_posix_cpu_timers
     0.07%  iperf3           [kernel.kallsyms]            [k] tcp_queue_rcv
     0.07%  iperf3           [kernel.kallsyms]            [k] _cond_resched
     0.07%  iperf3           [kernel.kallsyms]            [k] update_cfs_group
     0.07%  iperf3           [kernel.kallsyms]            [k] ip6_dst_hoplimit
     0.07%  iperf3           [kernel.kallsyms]            [k] hash_conntrack_raw
     0.07%  iperf3           [kernel.kallsyms]            [k] security_file_permission
     0.07%  iperf3           [kernel.kallsyms]            [k] do_softirq_own_stack
     0.06%  iperf3           [kernel.kallsyms]            [k] skb_release_head_state
     0.06%  iperf3           [kernel.kallsyms]            [k] selinux_peerlbl_enabled
     0.06%  iperf3           [kernel.kallsyms]            [k] ip6_input
     0.06%  iperf3           [kernel.kallsyms]            [k] sk_free
     0.06%  iperf3           [kernel.kallsyms]            [k] irqtime_account_irq
     0.06%  swapper          [kernel.kallsyms]            [k] do_idle
     0.06%  iperf3           [kernel.kallsyms]            [k] _raw_spin_lock_bh
     0.06%  ksoftirqd/0      [kernel.kallsyms]            [k] percpu_counter_add_batch
     0.06%  iperf3           [kernel.kallsyms]            [k] sock_read_iter
     0.06%  iperf3           [kernel.kallsyms]            [k] check_stack_object
     0.06%  iperf3           [kernel.kallsyms]            [k] rb_erase
     0.06%  iperf3           [kernel.kallsyms]            [k] mod_timer
     0.06%  iperf3           [kernel.kallsyms]            [k] inet6_ehashfn
     0.06%  swapper          [kernel.kallsyms]            [k] sched_clock
     0.06%  iperf3           [kernel.kallsyms]            [k] __update_load_avg_cfs_rq
     0.06%  iperf3           [kernel.kallsyms]            [k] ksoftirqd_running
     0.06%  iperf3           [kernel.kallsyms]            [k] __sk_dst_check
     0.06%  iperf3           [kernel.kallsyms]            [k] detach_if_pending
     0.06%  iperf3           [kernel.kallsyms]            [k] tcp_update_pacing_rate
     0.06%  iperf3           [kernel.kallsyms]            [k] read_tsc
     0.06%  xfwm4            libgdk-3.so.0.2404.6         [.] 0x0000000000067c15
     0.06%  iperf3           [kernel.kallsyms]            [k] inet6_csk_route_socket
     0.06%  iperf3           [kernel.kallsyms]            [k] enqueue_entity
     0.06%  iperf3           [kernel.kallsyms]            [k] __mod_zone_page_state
     0.05%  swapper          [kernel.kallsyms]            [k] tsc_verify_tsc_adjust
     0.05%  iperf3           [kernel.kallsyms]            [k] skb_free_head
     0.05%  iperf3           [kernel.kallsyms]            [k] __inc_numa_state
     0.05%  iperf3           [kernel.kallsyms]            [k] rpfilter_mt
     0.05%  iperf3           [kernel.kallsyms]            [k] skb_copy_header
     0.05%  iperf3           [kernel.kallsyms]            [k] nf_ct_deliver_cached_events
     0.05%  iperf3           [kernel.kallsyms]            [k] nf_nat_ipv6_fn
     0.05%  iperf3           [kernel.kallsyms]            [k] rcu_all_qs
     0.05%  iperf3           [kernel.kallsyms]            [k] inet6_csk_xmit
     0.05%  iperf3           libiperf.so.0.0.0            [.] iperf_run_server
     0.05%  iperf3           [kernel.kallsyms]            [k] core_sys_select
     0.05%  iperf3           [kernel.kallsyms]            [k] entry_SYSCALL_64_after_hwframe
     0.05%  iperf3           [kernel.kallsyms]            [k] prep_compound_page
     0.05%  Xorg             i965_dri.so                  [.] 0x00000000001d69c3
     0.05%  iperf3           [kernel.kallsyms]            [k] nf_ct_frag6_gather
     0.05%  iperf3           [kernel.kallsyms]            [k] fsnotify
     0.05%  swapper          [kernel.kallsyms]            [k] rb_erase_cached
     0.05%  iperf3           [kernel.kallsyms]            [k] __switch_to
     0.05%  iperf3           [kernel.kallsyms]            [k] __kfree_skb
     0.05%  iperf3           [kernel.kallsyms]            [k] nf_ct_seq_offset
     0.05%  iperf3           [kernel.kallsyms]            [k] raw6_local_deliver
     0.05%  Xorg             i965_dri.so                  [.] 0x000000000016f2ad
     0.05%  iperf3           [kernel.kallsyms]            [k] selinux_sk_getsecid
     0.05%  iperf3           [kernel.kallsyms]            [k] policy_nodemask
     0.05%  iperf3           [kernel.kallsyms]            [k] selinux_socket_sock_rcv_skb
     0.05%  iperf3           [kernel.kallsyms]            [k] copyout
     0.05%  iperf3           [kernel.kallsyms]            [k] nf_nat_packet
     0.04%  iperf3           [kernel.kallsyms]            [k] sock_has_perm
     0.04%  iperf3           [kernel.kallsyms]            [k] deactivate_task
     0.04%  iperf3           [kernel.kallsyms]            [k] __x64_sys_select
     0.04%  iperf3           [kernel.kallsyms]            [k] pollwake
     0.04%  iperf3           [kernel.kallsyms]            [k] tcp_established_options
     0.04%  iperf3           [kernel.kallsyms]            [k] ip6_autoflowlabel.part.0
     0.04%  iperf3           [kernel.kallsyms]            [k] ktime_get_ts64
     0.04%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee572
     0.04%  iperf3           [kernel.kallsyms]            [k] lock_sock_nested
     0.04%  iperf3           [kernel.kallsyms]            [k] tcp_event_data_recv
     0.04%  iperf3           [kernel.kallsyms]            [k] skb_page_frag_refill
     0.04%  iperf3           [kernel.kallsyms]            [k] tcp_schedule_loss_probe
     0.04%  iperf3           [kernel.kallsyms]            [k] ipv6_rcv
     0.04%  iperf3           libiperf.so.0.0.0            [.] iperf_tcp_recv
     0.04%  iperf3           [kernel.kallsyms]            [k] __sched_text_start
     0.04%  iperf3           [kernel.kallsyms]            [k] nf_nat_inet_fn
     0.04%  iperf3           [kernel.kallsyms]            [k] memcpy
     0.04%  iperf3           [kernel.kallsyms]            [k] tcp_v6_early_demux
     0.04%  iperf3           [kernel.kallsyms]            [k] ip6_dst_alloc
     0.04%  swapper          [kernel.kallsyms]            [k] osl_readl
     0.04%  iperf3           [kernel.kallsyms]            [k] reweight_entity
