# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
     0.17%  iperf3           [kernel.kallsyms]                        [k] free_unref_page_commit
     0.17%  ksoftirqd/2      [kernel.kallsyms]                        [k] __build_skb
     0.17%  swapper          [kernel.kallsyms]                        [k] osl_readw
     0.16%  iperf3           [kernel.kallsyms]                        [k] __free_pages_ok
     0.16%  iperf3           [kernel.kallsyms]                        [k] __fget_light
     0.16%  iperf3           [kernel.kallsyms]                        [k] rt6_find_cached_rt.isra.0
     0.16%  ksoftirqd/2      [kernel.kallsyms]                        [k] security_sock_rcv_skb
     0.16%  iperf3           [kernel.kallsyms]                        [k] select_idle_sibling
     0.16%  ksoftirqd/2      [kernel.kallsyms]                        [k] skb_release_data
     0.16%  ksoftirqd/0      [kernel.kallsyms]                        [k] veth_poll
     0.16%  iperf3           [kernel.kallsyms]                        [k] ___slab_alloc
     0.16%  iperf3           [kernel.kallsyms]                        [k] dev_hard_start_xmit
     0.15%  iperf3           [kernel.kallsyms]                        [k] __dev_queue_xmit
     0.15%  iperf3           [kernel.kallsyms]                        [k] __inode_security_revalidate
     0.15%  iperf3           [kernel.kallsyms]                        [k] __netif_receive_skb_one_core
     0.15%  iperf3           [kernel.kallsyms]                        [k] free_pcppages_bulk
     0.15%  iperf3           [kernel.kallsyms]                        [k] ipv6_gso_segment
     0.15%  iperf3           [kernel.kallsyms]                        [k] __virt_addr_valid
     0.15%  ksoftirqd/0      [kernel.kallsyms]                        [k] sk_free
     0.15%  iperf3           [kernel.kallsyms]                        [k] __list_add_valid
     0.15%  ksoftirqd/2      [kernel.kallsyms]                        [k] get_page_from_freelist
     0.15%  ksoftirqd/2      [kernel.kallsyms]                        [k] __slab_free
     0.14%  iperf3           [kernel.kallsyms]                        [k] vfs_read
     0.14%  iperf3           [kernel.kallsyms]                        [k] ip6_output
     0.14%  iperf3           [kernel.kallsyms]                        [k] _cond_resched
     0.14%  iperf3           [kernel.kallsyms]                        [k] sock_def_readable
     0.14%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_release_head_state
     0.14%  iperf3           [kernel.kallsyms]                        [k] ip6_finish_output2
     0.14%  iperf3           [kernel.kallsyms]                        [k] __tcp_ack_snd_check
     0.14%  iperf3           [kernel.kallsyms]                        [k] page_frag_free
     0.14%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_v6_inbound_md5_hash
     0.14%  iperf3           [kernel.kallsyms]                        [k] napi_gro_receive
     0.13%  iperf3           [kernel.kallsyms]                        [k] ipv6_defrag
     0.13%  iperf3           [kernel.kallsyms]                        [k] ip6_input
     0.13%  iperf3           [kernel.kallsyms]                        [k] tcp_sendmsg_locked
     0.13%  iperf3           [kernel.kallsyms]                        [k] do_softirq.part.0
     0.13%  iperf3           [kernel.kallsyms]                        [k] tcp_queue_rcv
     0.13%  iperf3           [kernel.kallsyms]                        [k] net_rx_action
     0.13%  iperf3           [kernel.kallsyms]                        [k] selinux_ipv6_output
     0.13%  iperf3           [kernel.kallsyms]                        [k] record_times
     0.13%  ksoftirqd/2      [kernel.kallsyms]                        [k] nmi
     0.13%  ksoftirqd/1      [kernel.kallsyms]                        [k] veth_poll
     0.13%  iperf3           [kernel.kallsyms]                        [k] tcp_gso_segment
     0.13%  iperf3           [kernel.kallsyms]                        [k] psi_task_change
     0.13%  iperf3           [kernel.kallsyms]                        [k] __inc_numa_state
     0.13%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_rcv_core.isra.0
     0.12%  iperf3           [kernel.kallsyms]                        [k] ip6_dst_gc
     0.12%  ksoftirqd/0      [kernel.kallsyms]                        [k] selinux_socket_sock_rcv_skb
     0.12%  iperf3           [kernel.kallsyms]                        [k] ip6_rcv_finish_core.isra.0
     0.12%  iperf3           [kernel.kallsyms]                        [k] sock_put
     0.12%  xfwm4            libgdk-3.so.0.2404.6                     [.] 0x0000000000067c1f
     0.12%  iperf3           [kernel.kallsyms]                        [k] tcp_v6_fill_cb
     0.12%  ksoftirqd/3      [kernel.kallsyms]                        [k] skb_copy_bits
     0.12%  ksoftirqd/1      [kernel.kallsyms]                        [k] __inet6_lookup_established
     0.12%  iperf3           [kernel.kallsyms]                        [k] netif_rx_internal
     0.12%  ksoftirqd/1      [kernel.kallsyms]                        [k] kfree
